# BEAST v1.8.3
# Generated Thu Jun 30 13:30:07 PDT 2016 [seed=1467318606161]
# -threads 2 -beagle_off infile.xml
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	ac	ag	at	cg	gt	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	treeLikelihood	location.traitLikelihood	skyline
0	-6749.346026139213	-4704.241355484867	-2045.1046706543457	232.76164383561627	31.0	31.0	31.0	31.0	31.0	31.0	31.0	31.0	31.0	31.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	5.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0E-4	0.3333333333333333	1.0256502021834632E-4	0.34414417644903234	-0.07545732678867785	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	0.009730532147933315	-1879.2466611657578	-165.85800948858787	-2341.002096528781
40000	-4383.590653174506	-2789.836440073165	-1593.754213101341	191.4272192388656	3056.377422460188	485.58399653698353	68.8208438429997	255.08727281435338	388.1080857988987	310.30309823275104	906.6971141303844	869.1264398942469	702.8473269155957	159.3088779014249	3.0	2.0	5.0	3.0	12.0	12.0	5.0	6.0	1.0	10.0	0.5445086648194869	0.6685644457741889	0.2678131317761674	0.37271826493315774	0.38344590256000366	0.26261825937848216	0.28154384661446374	0.21668842257610868	0.2391494714309453	0.5126328124238694	7.178310743224591E-5	0.3734864060341234	7.480029612479048E-5	0.4202704707441349	0.07207120447317275	1.9639545886633596	0.3953251709114462	0.3953251709114462	1.062221098889599	-0.27370408847756744	0.5504101272335955	-0.20484527924315607	-0.20484527924315604	1.0176605380529673	0.0045215949208368056	-1656.0534180566206	62.29920495527951	-392.81356753851276
80000	-4279.792758794111	-2746.430341905466	-1533.3624168886456	58.08439928524407	1261.648364965076	2320.5396978520175	425.1516500374046	356.58970928549115	260.601041495532	114.21125732419607	432.61464051584966	244.69287288559494	38.39542300430142	21.542818119246856	3.0	2.0	3.0	4.0	5.0	15.0	1.0	18.0	1.0	7.0	0.21675195349996135	0.5427880462158449	0.23002942236790874	0.15083949153758955	0.09391863388399957	0.2955562325238101	0.30472023305286366	0.179222760050585	0.22050077437274113	0.28749255056014833	1.9108945384117148E-4	0.5717741250612037	1.8477672150787948E-4	0.5930804958486072	-0.07050582201143982	1.569642791708878	0.24825290943344014	0.24825290943344014	1.193574627405264	-0.18137154098857888	0.6587578856428856	-0.13701578264828532	-0.13701578264828532	0.8663174827439167	0.011335271540531917	-1606.3909279117388	73.02851102309324	-359.1846397775987
120000	-4265.731037087389	-2756.083049102148	-1509.6479879852416	69.54900191317405	2656.503857571768	255.15067607932443	378.5385986775437	408.4591310819939	511.1452675842997	103.07903267388335	462.4608592778044	238.10898604400526	8.347654635563725	3.2892325146841586	6.0	8.0	9.0	9.0	5.0	9.0	2.0	4.0	4.0	3.0	0.19189620511572053	0.32609125386625465	0.16630389154765463	0.1289978561535603	0.08344826212267697	0.31451843454926304	0.3123794285078085	0.15740171753765908	0.21570041940526927	0.26224569930803965	2.2312155938598605E-4	1.178114487758686	1.5239144438654762E-4	1.638875366662427	-0.037451049353730566	2.3208268052657126	0.3393680371354204	0.3393680371354204	1.039213414293892	-0.21852302238140062	0.45248828624297177	-0.14776566527808543	-0.14776566527808546	1.0105209664705592	0.008152439256460437	-1590.7486045539974	81.10061656875594	-369.0748592481286
160000	-4155.109222070467	-2668.9222750827194	-1486.1869469877472	35.277852424290515	19.16138376489008	49.66321823734975	113.23431515308722	120.47950860625672	175.2580714206805	63.93482124893027	95.67651550081638	60.97881592495242	4.37444422200035	12.383582953432866	6.0	1.0	21.0	2.0	1.0	1.0	14.0	6.0	2.0	5.0	0.16597031711487104	0.5847522489073342	0.24657205899534776	0.09452648265201599	0.0743046047607891	0.35811203920223184	0.3416463602616965	0.11953851628021248	0.1807030842558591	0.7323642147082299	4.1998706642934594E-4	0.46205478193870875	4.077153402827423E-4	0.5510960857762738	-0.07459622536998205	1.3794267429701925	0.2520410322236547	0.2520410322236547	0.79598231908673	-0.24053053562078905	0.7694556316895864	-0.2436415822450154	-0.2436415822450154	1.3334563474970698	0.027368452358039762	-1558.1192322305565	71.93228524280929	-299.49828407833456
200000	-4114.698442015427	-2625.278591378002	-1489.4198506374246	22.57044264417634	9.658800342193478	17.182890008064383	51.679312984073704	18.596990905715238	48.1703379335179	32.52447005070174	83.11778783976644	7.3252542194006605	5.930367296984679	3.2102008267467688	1.0	5.0	29.0	1.0	2.0	1.0	9.0	2.0	4.0	5.0	0.07639729969132776	0.47832984775501597	0.2430624714070751	0.05887440962919685	0.060961355211364414	0.3762404540026962	0.35876405759658975	0.1090571176692556	0.15593837073145825	0.6334635189901777	6.497423647385919E-4	0.2510921032858483	6.277340550581906E-4	0.2747448940223404	0.1676908920392721	1.8569035465522459	0.12816668217578772	0.12816668217578772	1.404781724525688	-0.0793553195469398	0.5419436973350107	-0.0494447816346414	-0.04944478163464141	0.7163655079245846	0.03613835725864799	-1560.6395088941426	71.21965825671808	-267.40752902448844
240000	-4069.5338947565197	-2601.274689039084	-1468.2592057174359	16.258657906243986	7.605169328172441	15.67476092343267	33.21699427829055	11.087882636172411	15.822141976332585	16.885829733720726	63.85291295792472	63.001193200093454	39.12083027612946	4.637787939866228	7.0	6.0	12.0	2.0	7.0	3.0	9.0	1.0	4.0	8.0	0.10418325147274186	0.44092801325033254	0.16590276161732187	0.0434263018421084	0.11760400250403794	0.4128134434727406	0.32462613315630867	0.10295328387622049	0.15960713949472996	0.4558180717552004	9.860013054484868E-4	0.6977943154757797	9.121655271136074E-4	0.7397043781705629	0.05341777036722527	1.5665907947039164	0.061742952678203504	0.061742952678203504	0.6680149439463449	-0.06035545389853695	0.6406625792620922	-0.05921484193211754	-0.05921484193211754	1.5024455789178812	0.04915188145547133	-1539.3290187543716	71.0698130369357	-241.63906360834656
280000	-4069.1798346324413	-2610.967374820808	-1458.2124598116332	17.84136911029228	11.864446366530778	34.97028307631253	23.198580414710595	27.964079203301743	38.81580470952384	35.64818790861424	57.76999641056683	9.543751494797434	7.285600553933811	2.5526978104444877	6.0	17.0	2.0	2.0	7.0	13.0	4.0	1.0	2.0	5.0	0.1175317727594747	0.5599147307216418	0.1049208521633368	0.025110400968313087	0.17597212082290062	0.4042576523325704	0.33571984854485737	0.09925231575391393	0.16077018336865806	0.5139716003599516	8.408563308301832E-4	0.9883384769291677	6.792032835392554E-4	1.0809100503460713	-0.05174739469741794	2.508100969974165	0.17324276587179457	0.17324276587179457	0.8417618184959932	-0.11923067135218585	0.4044577841301191	-0.0832413441206856	-0.08324134412068561	1.2051163861326672	0.04964712692268664	-1543.7980211948236	85.58556138319047	-252.77527216058564
320000	-4071.300374949781	-2608.3915788385607	-1462.9087961112202	15.516445877518803	12.94205317220646	23.950527951486496	33.54258385092723	34.00442283425227	33.3060087335838	11.902654741702358	23.224756165572327	18.647396938036668	6.027446744695623	5.442982887441568	4.0	20.0	1.0	3.0	14.0	3.0	5.0	4.0	3.0	2.0	0.04279604792637123	0.45192685574919733	0.21199200709898441	0.006373914081593024	0.5255948881859638	0.41278232192012365	0.32985211291598643	0.10643739008596621	0.15092817507792344	0.7080429123528709	0.0012056879083248418	1.1373662937433475	9.709270525577088E-4	1.1534584253198141	-0.0522599981607721	2.0133779447811033	0.3090502478030489	0.3090502478030489	0.6210009503981863	-0.27638871725718883	0.5377574140035573	-0.267622878755922	-0.26762287875592206	1.7434899516708458	0.06435243851987317	-1546.2899788275224	83.38118271630209	-250.7423941466463
360000	-4030.7315074345192	-2572.5066320381666	-1458.2248753963527	8.9917154598525	16.90053954892696	20.094731066624572	26.67249859803181	99.72416010435458	14.858117541934469	19.19367891401434	8.488066355241877	7.220036769930074	1.5501419690932081	0.46568743027554943	7.0	19.0	5.0	3.0	4.0	8.0	7.0	4.0	1.0	1.0	0.09822152358620825	0.3786209849394187	0.09106669741244168	0.009398221001942143	0.24651920473124042	0.4102892967590537	0.32421409772872584	0.1052953821243086	0.1602012233879115	0.5331591300074597	0.0015313823931178243	0.6553793607357443	0.0014037634418133476	0.5792981524593467	-0.14096511144506338	1.7790213974397895	0.3965717946758583	0.3965717946758583	0.5937837152576586	-0.3858487480989926	0.6604313080919944	-0.44108388691077155	-0.4410838869107716	1.9787026798553715	0.11237741044571578	-1534.1284061522463	75.90353075589366	-219.67043090706971
